Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist - Nationwide Opportunities,Employer Provided Salary:$115K,3.8,"Amazon Web Services, Inc.
3.8","Madison, WI",10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
Data Scientist Intern,-1,4.1,"Elutions
4.1","Delafield, WI",1 to 50 Employees,1994,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD)
Data Scientist - Remote,-1,3.7,"Schneider
3.7","Green Bay, WI",10000+ Employees,1935,Company - Public,Transportation Management,Transportation & Logistics,$2 to $5 billion (USD)
"Data Scientist, Revenue Optimization",-1,3.6,"Great Wolf Lodge
3.6","Madison, WI",10000+ Employees,1997,Company - Private,"Hotels, Motels, & Resorts",Travel & Tourism,$100 to $500 million (USD)
"Associate Scientist, Data Reviewer",-1,3.5,"Catalent Pharma Solutions
3.5","Madison, WI",10000+ Employees,2007,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
Data Scientist,-1,4.0,"Northwestern Mutual
4.0","Milwaukee, WI",5001 to 10000 Employees,1857,Company - Private,Brokerage Services,Finance,$10+ billion (USD)
SCIENTIST - DATA REVIEWER - CELL LAB,-1,4.0,"PPD
4.0","Middleton, WI",10000+ Employees,1985,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
Data Scientist,-1,-1,"The Cadmus Group, Inc.","Madison, WI",501 to 1000 Employees,1983,Company - Private,Consulting,Business Services,$100 to $500 million (USD)
Data Scientist,-1,4.3,"Milliman
4.3","Brookfield, WI",1001 to 5000 Employees,1947,Company - Private,Consulting,Business Services,$1 to $2 billion (USD)
Associate Data Scientist,-1,4.0,"Northwestern Mutual
4.0","Milwaukee, WI",5001 to 10000 Employees,1857,Company - Private,Brokerage Services,Finance,$10+ billion (USD)
Associate Data Scientist (Remote),-1,3.6,"KOHLS
3.6","Menomonee Falls, WI",10000+ Employees,1962,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD)
Data Scientist,-1,4.1,"Elutions
4.1","Delafield, WI",1 to 50 Employees,1994,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD)
Senior Data Scientist,-1,4.1,"CUNA Mutual Group
4.1","Madison, WI",1001 to 5000 Employees,1935,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable
RADIOLOGY INFORMATICS DATA SCIENTIST,-1,4.7,"University of Wisconsin–Madison
4.7","Madison, WI",51 to 200 Employees,Company - Public,Unknown / Non-Applicable,-1,-1,-1
Data Scientist III,-1,3.8,"Thermo Fisher Scientific
3.8","Madison, WI",10000+ Employees,1902,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Senior Data Scientist - ProServe,-1,3.8,"Amazon Web Services, Inc.
3.8","Madison, WI",10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
Supply Chain Data Scientist Consultant,-1,4.0,"Accenture
4.0","Milwaukee, WI",10000+ Employees,1989,Company - Public,Consulting,Business Services,$10+ billion (USD)
Data Science Manager - Fraud,-1,3.7,"U.S. Bank
3.7","Milwaukee, WI",10000+ Employees,1863,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD)
Data Scientist - ProServe,-1,3.8,"Amazon Web Services, Inc.
3.8","Milwaukee, WI",10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
"Lead Product Manager Data Platform, Enterprise Apps (Remote - US)",-1,4.8,"DISQO
4.8",United States,51 to 200 Employees,2015,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable
Senior Data Analyst – Managed Services (ServiceNow),-1,4.1,"CDW
4.1","Madison, WI",5001 to 10000 Employees,1984,Company - Public,IT Services,Information Technology,$10+ billion (USD)
Data Scientist,-1,5.0,"Phoenix LLC
5.0","Madison, WI",1 to 50 Employees,2005,Company - Private,Chemical Manufacturing,Manufacturing,$1 to $5 million (USD)
Senior Data Analyst,-1,3.9,"Marine Credit Union
3.9","La Crosse, WI",201 to 500 Employees,1949,Company - Private,Banks & Credit Unions,Finance,$500 million to $1 billion (USD)
People Analytics - Data Analyst,-1,4.1,"Gundersen - La Crosse Main Campus
4.1","La Crosse, WI",5001 to 10000 Employees,1891,Hospital,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
"Data Scientist, Machine Learning Emphasis – 1212 Deming Way",-1,3.9,"UW Health
3.9","Madison, WI",10000+ Employees,Hospital,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
Senior Data Scientist,-1,4.0,"Northwestern Mutual
4.0","Milwaukee, WI",5001 to 10000 Employees,1857,Company - Private,Brokerage Services,Finance,$10+ billion (USD)
Business Intelligence and Data Science Engineer,-1,-1,Continuus Technologies,"Milwaukee, WI",-1,-1,-1,-1,-1,-1
Supply Chain Data Scientist Manager,-1,4.0,"Accenture
4.0","Milwaukee, WI",10000+ Employees,1989,Company - Public,Consulting,Business Services,$10+ billion (USD)
Sr. Data & ML Engineer,-1,3.8,"Amazon Web Services, Inc.
3.8",Wisconsin,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
Credit Risk Analytics-Data Scientist Manager,-1,3.7,"CNH Industrial
3.7","Racine, WI",10000+ Employees,2013,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD)
Lead Data Scientist,-1,4.0,"Northwestern Mutual
4.0","Franklin, WI",5001 to 10000 Employees,1857,Company - Private,Brokerage Services,Finance,$10+ billion (USD)
Senior Data Analyst,-1,4.1,"Wisconsin Foundation and Alumni Association
4.1","Madison, WI",201 to 500 Employees,1945,Nonprofit Organization,Colleges & Universities,Education,$100 to $500 million (USD)
Senior Data Analyst,-1,4.2,"University of Wisconsin Foundation
4.2","Madison, WI",10000+ Employees,1849,College / University,Colleges & Universities,Education,$2 to $5 billion (USD)
Senior Data & AI Analyst,-1,3.6,"Concurrency
3.6","Brookfield, WI",51 to 200 Employees,1989,Company - Private,IT Services,Information Technology,$25 to $50 million (USD)
Senior Total Rewards Data Analyst,-1,4.0,"Paradigm Diagnostics
4.0","Madison, WI",1 to 50 Employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
"Sr. Data Analyst, Quality - PHC Analytics Center - Full-Time",-1,3.7,"ProHealth Care Admin Building
3.7","Pewaukee, WI",1001 to 5000 Employees,1914,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
"Summer 2021 Internship Program - Engineering, Data Science and Analytics",-1,3.7,"Schneider
3.7","Green Bay, WI",10000+ Employees,1935,Company - Public,Transportation Management,Transportation & Logistics,$2 to $5 billion (USD)
Machine Learning Engineer,-1,4.6,"Milwaukee Tool
4.6","Brookfield, WI",10000+ Employees,1924,Company - Public,Consumer Products Manufacturing,Manufacturing,Unknown / Non-Applicable
DIRECTOR - AMERICAN FAMILY INSURANCE DATA SCIENCE INSTITUTE (DSI),-1,4.7,"University of Wisconsin–Madison
4.7","Madison, WI",51 to 200 Employees,Company - Public,Unknown / Non-Applicable,-1,-1,-1
Assistant Director - Data Science,-1,4.0,"Northwestern Mutual
4.0","Franklin, WI",5001 to 10000 Employees,1857,Company - Private,Brokerage Services,Finance,$10+ billion (USD)
Senior Data Analyst - EDM / Quality Assurance,-1,3.8,"Quartz
3.8","Madison, WI",1 to 50 Employees,Unknown,News Outlet,Media,Less than $1 million (USD),-1
"Machine Learning Engineer opening in Menomonee Falls, WI",-1,3.1,"iknowvate technologies
3.1","Menomonee Falls, WI",1 to 50 Employees,2001,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD)
Senior Data Architect,-1,4.3,"Direct Supply
4.3","Milwaukee, WI",501 to 1000 Employees,1987,Company - Private,Health Care Products Manufacturing,Manufacturing,$500 million to $1 billion (USD)
Data Science Marketing Specialist,-1,4.0,"SmartUQ
4.0","Madison, WI",Unknown,Company - Private,Unknown / Non-Applicable,-1,-1,-1
Data Science Quality Assurance Analyst,-1,3.7,"MGIC
3.7","Milwaukee, WI",501 to 1000 Employees,1957,Company - Public,Insurance Carriers,Insurance,$1 to $2 billion (USD)
Computer Science / Data Science Design Engineer - Emerging Technologies,-1,4.6,"Milwaukee Tool
4.6","Brookfield, WI",10000+ Employees,1924,Company - Public,Consumer Products Manufacturing,Manufacturing,Unknown / Non-Applicable
I/O Data Science Intern,-1,3.3,"Modern Hire
3.3",Wisconsin,201 to 500 Employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Senior Total Rewards Data Analyst,-1,4.2,"Exact Sciences Corporation
4.2","Madison, WI",5001 to 10000 Employees,1995,Company - Public,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
Data Architect,-1,4.6,"SysLogic, Inc.
4.6","Milwaukee, WI",1 to 50 Employees,1995,Company - Private,IT Services,Information Technology,$1 to $5 million (USD)
"Lead Product Manager Data Platform, Enterprise Apps (Remote - US)",-1,4.8,"DISQO
4.8",United States,51 to 200 Employees,2015,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable
AI & Automation Engineer,-1,3.2,"Arrow Electronics
3.2","Brookfield, WI",10000+ Employees,1935,Company - Public,Wholesale,Business Services,$10+ billion (USD)
Senior Data Analyst – Managed Services (ServiceNow),-1,4.1,"CDW
4.1","Madison, WI",5001 to 10000 Employees,1984,Company - Public,IT Services,Information Technology,$10+ billion (USD)
I/O Data Science Intern,-1,3.3,"Modern Hire
3.3",Wisconsin,201 to 500 Employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Architect - Specialist,-1,3.2,"GalaxE.Solutions
3.2","Franklin, WI",1001 to 5000 Employees,1995,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
Senior Financial Data Analyst,-1,4.8,"US Venture
4.8","Appleton, WI",1001 to 5000 Employees,1951,Company - Private,Energy,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable
Sr. Pricing Analyst,-1,4.1,"FedEx Services
4.1","Brookfield, WI",10000+ Employees,2000,Company - Public,Logistics & Supply Chain,Transportation & Logistics,$1 to $5 million (USD)
Data Science Manager - Machine Learning Research Team,-1,3.6,"American Family Insurance
3.6","Madison, WI",5001 to 10000 Employees,1927,Company - Private,Insurance Carriers,Insurance,$5 to $10 billion (USD)
Data Science Manager - Machine Learning Research Team,-1,3.6,"American Family Insurance
3.6","Madison, WI",-1,-1,-1,-1,-1,-1
Data Science and Engineering Lead – HealthIO,-1,4.3,"Milliman
4.3","Brookfield, WI",1001 to 5000 Employees,1947,Company - Private,Consulting,Business Services,$1 to $2 billion (USD)
Consultant (Data Specialist)-Remote,-1,-1,"AVP, Inc.","Madison, WI",-1,-1,-1,-1,-1,-1
Data Science Business Analyst,-1,3.7,"MGIC
3.7","Milwaukee, WI",501 to 1000 Employees,1957,Company - Public,Insurance Carriers,Insurance,$1 to $2 billion (USD)
"Principal Data Scientist, ProServe",-1,3.8,"Amazon Web Services, Inc.
3.8","Madison, WI",10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
Senior Data Analyst,-1,3.5,"Franklin Energy
3.5","New Berlin, WI",1001 to 5000 Employees,1994,Company - Private,Energy,"Oil, Gas, Energy & Utilities",$50 to $100 million (USD)
Project Manager - Data Science & Analytics,-1,4.0,"Northwestern Mutual
4.0","Milwaukee, WI",5001 to 10000 Employees,1857,Company - Private,Brokerage Services,Finance,$10+ billion (USD)
"Manager, Data Science (Remote)",-1,3.6,"KOHLS
3.6","Menomonee Falls, WI",10000+ Employees,1962,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD)
Business Intelligence & Data Analytics Leader,-1,3.5,"Enerpac Tool Group
3.5","Menomonee Falls, WI",1001 to 5000 Employees,1910,Company - Public,Miscellaneous Manufacturing,Manufacturing,$1 to $2 billion (USD)
"Director, Risk Management Technology–Data Office",-1,3.9,"KPMG
3.9","Milwaukee, WI",10000+ Employees,1987,Company - Private,Consulting,Business Services,$1 to $2 billion (USD)
"Senior Business Analyst/Product Manager, Data & Analytics – Clinical/Research",-1,4.0,"Paradigm Diagnostics
4.0","Madison, WI",1 to 50 Employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
"Statistician, Process Development",-1,3.5,"Catalent Pharma Solutions
3.5","Madison, WI",10000+ Employees,2007,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
AWS Data Migration Architect,-1,4.0,"Accenture
4.0","Milwaukee, WI",10000+ Employees,1989,Company - Public,Consulting,Business Services,$10+ billion (USD)
Data Science Analyst,-1,3.7,"Brady Corporation
3.7","Milwaukee, WI",5001 to 10000 Employees,1914,Company - Public,Industrial Manufacturing,Manufacturing,$1 to $2 billion (USD)
Senior Business Intelligence Analyst – Power BI Data Analyst,-1,5.0,"Bravent
5.0","Milwaukee, WI",1 to 50 Employees,2016,Company - Private,Consulting,Business Services,Unknown / Non-Applicable
"Senior Business Analyst/Product Manager, Data & Analytics – Clinical/Research",-1,4.2,"Exact Sciences Corporation
4.2","Madison, WI",5001 to 10000 Employees,1995,Company - Public,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
Senior Data Scientist - Nationwide Opportunities,-1,3.8,"Amazon Web Services, Inc.
3.8",Wisconsin,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
Lead Data Scientist,-1,3.6,"Circle
3.6",Wisconsin,51 to 200 Employees,2013,Company - Private,Financial Transaction Processing,Finance,Unknown / Non-Applicable
Sales Manager - Data Center Service Solutions,Employer Provided Salary:$74K - $91K,3.0,"Foxconn
3.0","Sturtevant, WI",1 to 50 Employees,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),-1
"Data Scientist, Revenue Optimization",-1,5.0,"Great Lakes Services, LLC
5.0","Madison, WI",1 to 50 Employees,Company - Private,Insurance Agencies & Brokerages,Insurance,$10 to $25 million (USD),-1
Senior Provider Data Analyst,-1,4.0,"Neugen LLC
4.0","Madison, WI",201 to 500 Employees,2018,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Sr. Manager IT-Data Engineering & Architecture,-1,4.6,"Milwaukee Tool
4.6","Brookfield, WI",10000+ Employees,1924,Company - Public,Consumer Products Manufacturing,Manufacturing,Unknown / Non-Applicable
Data Scientist,Employer Provided Salary:$80K - $100K,4.0,"Gigaphoton USA, Inc
4.0",United States,501 to 1000 Employees,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,Unknown / Non-Applicable,-1
AI & Automation Engineer,-1,3.2,"Arrow Electronics
3.2","Brookfield, WI",10000+ Employees,1935,Company - Public,Wholesale,Business Services,$10+ billion (USD)
Senior Data Analyst – Managed Services (ServiceNow),-1,4.1,"CDW
4.1","Madison, WI",5001 to 10000 Employees,1984,Company - Public,IT Services,Information Technology,$10+ billion (USD)
"Data Scientist, Revenue Optimization",-1,5.0,"Great Lakes Services, LLC
5.0","Madison, WI",1 to 50 Employees,Company - Private,Insurance Agencies & Brokerages,Insurance,$10 to $25 million (USD),-1
TECHNICAL CONSULTANT - DATA SCIENCE,-1,4.0,"Rockwell Automation
4.0","Milwaukee, WI",10000+ Employees,1903,Company - Public,Industrial Manufacturing,Manufacturing,$5 to $10 billion (USD)
"Senior Business Analyst/Product Manager, Data and Analytics Platform",-1,4.0,"Paradigm Diagnostics
4.0","Madison, WI",1 to 50 Employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
"Director, Data Science",-1,3.6,"Circle
3.6",Wisconsin,51 to 200 Employees,2013,Company - Private,Financial Transaction Processing,Finance,Unknown / Non-Applicable
